// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
06136	7.061915	3.244221	5.540282	-0.355470	0.048122	0.248761	0.659483	-0.134228	0.739638	-0.196372	0.919001	0.341869	-0.725617	-0.370701	0.579707
06137	7.184956	3.168693	5.474626	-0.354249	-0.009832	0.285118	0.649985	-0.122128	0.750069	-0.211749	0.918808	0.333097	-0.729850	-0.375335	0.571351
06138	7.288565	3.022323	5.456002	-0.357751	-0.054547	0.325957	0.654301	-0.123900	0.746015	-0.207871	0.919021	0.334949	-0.727103	-0.374232	0.575561
06139	7.331098	2.913722	5.388694	-0.352961	-0.095179	0.366626	0.652847	-0.120882	0.747782	-0.207698	0.920784	0.330178	-0.728459	-0.370869	0.576024
06140	7.347048	2.722001	5.337123	-0.347063	-0.123315	0.398507	0.650348	-0.117475	0.750498	-0.207928	0.922709	0.324613	-0.730625	-0.367161	0.575656
06141	7.512431	2.581257	5.293011	-0.332603	-0.137668	0.419818	0.648468	-0.114101	0.752643	-0.208221	0.924411	0.319543	-0.732211	-0.363929	0.575692
06142	7.654753	2.442504	5.324612	-0.322008	-0.132903	0.443566	0.645375	-0.109347	0.755999	-0.209196	0.926562	0.312602	-0.734662	-0.359897	0.575105
06143	7.758611	2.339876	5.365523	-0.301568	-0.120978	0.461131	0.643518	-0.105504	0.758125	-0.209950	0.928138	0.307376	-0.736074	-0.356971	0.575124
06144	7.857499	2.295101	5.403017	-0.293190	-0.092306	0.478343	0.638324	-0.097929	0.763514	-0.212137	0.931087	0.296776	-0.739960	-0.351408	0.573560
06145	7.813126	2.225292	5.363991	-0.293112	-0.064319	0.489704	0.636806	-0.093591	0.765323	-0.213088	0.932582	0.291350	-0.740994	-0.348615	0.573930
06146	7.778632	2.116933	5.339584	-0.292418	-0.039912	0.495954	0.629774	-0.083408	0.772287	-0.215971	0.936216	0.277230	-0.746151	-0.341384	0.571591
06147	7.699814	2.030177	5.372380	-0.295636	-0.019520	0.492407	0.628563	-0.078861	0.773750	-0.216862	0.937621	0.271732	-0.746913	-0.338598	0.572252
06148	7.743798	1.928845	5.389518	-0.301753	0.003603	0.478160	0.621183	-0.067451	0.780757	-0.219489	0.941440	0.255961	-0.752301	-0.330366	0.570002
06149	7.686219	1.844375	5.401903	-0.297558	0.028664	0.455574	0.620398	-0.063065	0.781748	-0.220078	0.942716	0.250705	-0.752777	-0.327582	0.570979
06150	7.705172	1.695819	5.425130	-0.288809	0.041234	0.429434	0.613992	-0.051707	0.787617	-0.222020	0.946250	0.235199	-0.757444	-0.319277	0.569510
06151	7.708002	1.580018	5.459095	-0.280533	0.062183	0.390372	0.613596	-0.047813	0.788172	-0.222291	0.947336	0.230524	-0.757685	-0.316652	0.570653
06152	7.653056	1.525977	5.483149	-0.255157	0.075000	0.352257	0.608692	-0.037128	0.792537	-0.223445	0.950451	0.216138	-0.761292	-0.308650	0.570236
06153	7.622051	1.476203	5.484303	-0.234429	0.087513	0.309436	0.608667	-0.033916	0.792701	-0.223544	0.951282	0.212347	-0.761284	-0.306452	0.571432
06154	7.601583	1.453624	5.550082	-0.208870	0.102483	0.271716	0.605468	-0.024558	0.795490	-0.224038	0.953845	0.199969	-0.763685	-0.299295	0.572021
06155	7.601183	1.485259	5.613361	-0.186595	0.111675	0.232682	0.605800	-0.022005	0.795313	-0.224023	0.954456	0.197049	-0.763427	-0.297541	0.573279
06156	7.556403	1.487641	5.603789	-0.171754	0.112492	0.192791	0.604155	-0.014271	0.796739	-0.224009	0.956479	0.186995	-0.764733	-0.291451	0.574664
06157	7.582924	1.528020	5.698821	-0.149566	0.121153	0.167129	0.604707	-0.012320	0.796353	-0.223876	0.956936	0.184804	-0.764336	-0.290036	0.575908
